HPO,UMLS
0001791,C1285291
0001792,C0263523
0001795,C0423807
0001798,C0265998
0001799,C0423808
0001800,C1837279
0001802,C1844555
0001803,C0150993
0001804,C1856786
0001805,C0263537
0001806,C0085661
0001807,C0423820
0001808,C1856963
0001809,C0263530
0001810,C1833225
0001812,C1844825
0001814,C3277753
0001816,C0423823
0001817,C1844554
0001818,C0030578
0001820,C0240182
0001821,C1843112
0001822,C0006386
0001824,C1262477
0001827,C4025746
0001829,C0158734
0001830,C2112129
0001831,C1836195
0001832,C4025745
0001833,C0576225
0001836,C4021774
0001837,C1865038
0001838,C0240912
0001839,C0432028
0001840,C0231791
0001841,C1866339
0001842,C4025744
0001844,C4021773
0001845,C0920299
0001847,C1864375
0001848,C1860450
0001849,C0426934
0001850,C1862136
0001852,C1840069
0001853,C4021772
0001854,C0221168
0001857,C4021771
0001859,C4025743
0001862,NA
0001863,C4021770
0001864,C4025741
0001868,C4025740
0001869,C1857953
0001870,C4025739
0001871,C0018939
0001872,C0040015
0001873,C0040034
0001874,C0427515
0001875,C0853697
0001876,C0030312
0001877,C0391870
0001878,C0002878
0001879,C4025738
0001880,C0014457
0001881,C0152009
0001882,C0023530
0001883,C1301937
0001884,C0152237
0001885,C4021769
0001886,C4025737
0001888,C0024312
0001889,C0002888
0001890,C0002880
0001891,C0162316
0001892,C1458140
0001894,C0836924
0001895,C0235983
0001896,C0858867
0001897,C0085577
0001898,C1853288
0001899,C0239935
0001900,C0549448
0001901,C0032461
0001902,C0333864
0001903,C0002871
0001904,C0340971
0001905,C0272278
0001907,C0040038
0001908,C0178416
0001909,C0023418
0001911,C0427515
0001912,C4025736
0001913,C0001824
0001915,C0002874
0001917,C0268382
0001919,C0022660
0001920,C0035067
0001922,C1836855
0001923,C0206160
0001924,C0002896
0001927,C0687751
0001928,C0005779
0001929,C0015523
0001930,C4025735
0001931,C0002884
0001933,C0854107
0001934,C1844374
0001935,C0085576
0001937,C0221021
0001939,C4021768
0001941,C0001122
0001942,C0220981
0001943,C0020615
0001944,C0011175
0001945,C0015967
0001946,C0022638
0001947,C0001126
0001948,C0002063
0001949,C0085570
0001950,C0002064
0001951,C1839541
0001952,C0235401
0001953,C0011880
0001954,C0277799
0001955,C1844662
0001956,C0311277
0001958,C1865292
0001959,C0085602
0001960,C0740898
0001961,C3151525
0001962,C0030252
0001963,C1836752
0001964,C1860182
0001965,C4025734
0001966,C4025733
0001967,C0268747
0001969,C0041349
0001970,C0041349
0001971,C0020532
0001972,C0002886
0001973,C0242584
0001974,C0023518
0001975,C0040015
0001976,C0272375
0001977,C4025731
0001978,C1292120
0001980,C0238801
0001981,C0344386
0001982,C0036489
0001983,C4021766
0001984,C1396243
0001985,C1856438
0001986,C1112601
0001987,C0220994
0001988,C1846288
0001989,C1276035
0001991,C3551148
0001992,C0241775
0001993,C0220982
0001994,C0341703
0001995,C0085569
0001996,C0740749
0001997,C0003868
0001998,C0158986
0001999,C0266617
0002000,C1857479
0002002,C1839797
0002003,C1839783
0002006,C0685787
0002007,C0221354
0002009,C0266619
0002010,C1851835
0002011,C0007682
0002012,C4021764
0002013,C0042963
0002014,C0011991
0002015,C0011168
0002017,C0027498
0002018,C0027497
0002019,C0009806
0002020,C0017168
0002021,C0034194
0002023,C0003466
0002024,C3714745
0002025,C0262374
0002027,C0000737
0002028,C0401151
0002031,C0266126
0002032,C0014850
0002033,C1837142
0002034,C0266210
0002035,C0034888
0002036,C3489393
0002037,C0021390
0002038,C1839531
0002039,C0003123
0002040,C0014867
0002041,C0743178
0002043,C0014866
0002044,C0043515
0002045,C0020672
0002046,C0231274
0002047,C0024591
0002048,C4025730
0002049,C0268435
0002050,C1839782
0002054,C1845107
0002055,C1844572
0002056,C4021763
0002057,C1860247
0002058,C0332615
0002059,C0154671
0002060,C4021762
0002061,C1271100
0002062,C4020859
0002063,C0026837
0002064,C0231687
0002066,C0751837
